"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Barbados","BRB","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","4537","4161","4675","","","3964","2717","1530","965","","458","139","611","","","","","","487","1119","","2438","","","","","","","156","102","123","231","219","134","579","417","447","439","774","402","452","","","1163","1022","857","1471","1379","1333","1562","1864","2385","2832","3420",
"Brunei Darussalam","BRN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","2218","1696","3986","3743","4666","5143","4563","4222","","3438","","","","","1951","2047","1488","1862","1248","","","","","","","","","","","","","","","","1239.10797442957","638.279053420803","866.047337837197","479.078734793184","295.285121280322","627.134494632373","597.517495205015","615.161159811192","573.709801409357","422.650408620058","700.859676659871","371.363528071262","232.895606966471","",
"Bhutan","BTN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","48268","48452","","","","","","","","","","","","","","","","","","","46719","46441","44897","42948","","","","30881","24984","","17016","11692","9292","8703","7446","8923","","10446","10929","11055","8759","","4954","14141.9995498657","8652.99938201906","9804.99941253662","8385.0001449585",
"Botswana","BWA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","60464","64402","64277","64196","60250","52056","46806","41511","41453","41613","36304","26575","","21601","22140","18887","19131","20639","22311","22288","25308","20567","24651","28544","30814","59416","58565","","50241","52141","48940","43745","42120","39508","34508","31241","27263","30155","32202","32910","","","28382","34679","39617","","","","","","","","1868.90972901735","","",
"Central African Republic","CAF","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","192427","189982","188604","","","","221137","221599","","","194776","180276","166199","","","145706","190675","206539","215261","188652","222870","","","","","","","","","","","","","","415049","422895","378045","321940","325989","298341","322446","306334","","","","","","","","","","","","",
"Canada","CAN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14517","","","","","","","","","","","","11171","13615","10728","6768","34118","32791","32648","69676","77439","119579","132402","129221","",
"Central Europe and the Baltics","CEB","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3123","3388","924","1196","692","","","","","1850","1684","4576","6515","212","59","157","425","629","661","542","713","1236","1399","252","",
"Channel Islands","CHI","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52834","50176","73359","49864","52825","49382","48376","42632","39559","36474","34398","28869","24658","35186","33577","19938","20233","",
"China","CHN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","3839648","2749983","4528093","7874579","8654800","9984301","10619108","11118529","10102953","9464568","8248401","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","630994","","","","","","","","","","","","","","1214801","1262190","","","","1377153","1404733","","1462823","1525605","1456005","1485974","1649807","","","","","","1923994","","","","1281399","1121305","1076358","829318","872859","754999","733513","693368","817120","864826","664020","650800",
"Cameroon","CMR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","357607","373970","399915","434572","375354","377641","410744","411845","417655","432491","","","","","","","","451789","","490692","538421","","","","","","","","","","","","","","","","","376363","303800","","278416","195511","","185722.388091486","177176.065946703","165692.930549893","226734","","307267","","189768.751247587","172874.342483324","167116.156239397","173924",
"Congo, Dem. Rep.","COD","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","975728","1073449","","","1125964","","","","1177697","","","","1211240","1212164","","","","2029461","","","2488153","2677146","2833555","2857817","2463574","","","","5230149","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","54967","","43509","","40482","","31263","29385","51365","52742","48917","45312","39308","","","","","","","","","","","","","","","","","","","","","282292","266400","","","","89656","","81086","","","","","","190282","","","","","171125","",
"Colombia","COL","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","17770","13941","7351","3588","8397","9434","11031","4332","68249","","","131741","201303","156491","180919","195829","239318","274954","289295","","",
"Comoros","COM","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","15470","","","18524","23732","","","","","","","31806","","","","","45952","39337","","","","","","","28374","","","","","","5255","6657","","","10145","13856","","","30906","","","21743",
"Cabo Verde","CPV","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","11576","13248","15419","12580","11369","10794","10146","7451","","6127","","","","4661","","","","2401","","2723","3561","3194","3065","4147","3812","3796","4893","5400","5602","5472","5048","3617","3349","3140","2968","3160","3048","2208","2244","3159","2832","24851","","",
"Costa Rica","CRI","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14145","21598","30022","41750","38932","35333","45307","30015","21561","24121","27816","27179","21131","",
"Caribbean small states","CSS","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","78078","40265","29595","","","","","47171","44902","57754","45803","24959","30719","46821","46818","35476","31941","37668","44038","44592","34469","40865","36432","38655","13326","7530","5495","4156","2225","681","1696","3812","5764","6869","10698","5172","13504","10051","13213","19511","15947","5430.77603236982","15284","17427","16213","17412","16019","13833","9828","9490","25107","24569","33328",
"Curacao","CUW","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.3029223093381","","","366","",
